Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Bhansali Engineering Polymers",510,Chemicals,Explore,131.10," 1.45 "," 1.12% ","556,460",21.97,7.95,"2,186.64","1,144.93",99.53,8.59,47.59,-4.12,-15.04,57.28,105.60,48.67,27.75
"Bharat Bijlee",513,Engineering,YES,"1,272.65"," 15.90 "," 1.27% ","4,923",9.27,1.02,719.78,822.36,77.66,9.15,9.08,-2.52,-1.03,9.65,31.00,31.48,0.35
"Bharat Electronics",516,Manufacturing,,84.40," 8.20 "," 10.76% ","47,329,852",14.10,2.58,"20,503.93","10,699.56","1,453.70",13.41,17.87,-35.15,-30.35,-53.69,-10.55,18.08,10.99
"Bharat Financial Inclusion",20575,Bank/Finance,YES,"1,063.00"," 6.65 "," 0.63% ","1,968,292",23.39,4.85,"14,841.31","2,117.32",634.60,28.20,17.08,-10.97,-10.76,12.74,39.00,52.06,-
"Bharat Forge",518,Manufacturing,Explore,625.00," 8.40 "," 1.36% ","910,966",37.75,5.97,"28,938.66","5,594.84",766.68,13.40,17.21,-4.72,1.85,0.98,10.92,37.21,19.32
"Bharat Rasayan",527,Chemicals,YES,"6,532.30"," -14.70 "," -0.22% ","1,033",25.65,8.55,"2,762.11",871.28,107.67,12.31,31.37,-6.36,7.84,139.40,92.26,-,60.54
"Bharti Airtel",6321,General,,360.00," -0.50 "," -0.14% ","3,963,586",173.83,2.07,"144,106.27","81,809.80","1,104.70",1.33,1.64,-2.29,-3.65,-7.50,2.68,1.42,-0.92
"Bharti Infratel",21887,Services,YES,261.50," -7.85 "," -2.91% ","2,574,655",19.46,2.77,"48,015.83","6,724.80","1,189.50",16.90,7.34,-5.67,-7.74,-31.17,-12.02,10.96,-
BHEL,520,Engineering,,72.25," 0.60 "," 0.84% ","3,737,801",29.95,0.81,"26,397.37","29,006.77",881.36,2.94,2.56,-10.66,-2.32,-15.54,-18.42,-5.57,-10.52
Biocon,15774,Pharma,Explore,704.20," 2.65 "," 0.38% ","4,499,154",103.42,8.09,"42,486.00","4,319.80",476.00,10.48,8.74,15.63,10.57,104.83,68.71,44.86,27.60
"Birla Corporation",564,Cement,YES,667.90," -7.50 "," -1.11% ","28,910",26.65,1.46,"5,185.54","5,931.12",194.60,3.24,4.56,-14.44,-3.80,-24.79,13.37,26.56,17.92
"Bliss GVS Pharma",573,Pharma,,188.15," 0.40 "," 0.21% ","220,309",25.54,3.37,"1,939.16",794.91,90.74,10.91,17.34,0.86,4.98,19.10,0.49,37.79,22.45
"Blue Dart Express",582,Services,,"3,004.85"," 10.30 "," 0.34% ","2,450",49.91,11.10,"7,141.40","2,856.97",143.09,4.97,30.11,-15.12,-16.79,-27.32,-25.02,3.65,16.66
"Blue Star",583,"Consumer Goods",,615.15," 3.65 "," 0.60% ","12,001",32.36,6.37,"5,901.27","4,800.72",187.63,3.90,19.07,-10.53,-4.73,-19.78,22.50,33.35,6.96
"Bodal Chemicals",963,Chemicals,YES,106.40," -0.25 "," -0.23% ","137,770",9.60,1.76,"1,303.75","1,201.99",135.78,11.21,23.52,-10.58,-19.35,-34.60,50.48,65.88,24.85
"Bombay Burmah",587,"Consumer Goods",Explore,"1,418.00"," -24.80 "," -1.72% ","270,663",-,35.56,"10,128.09",216.74,-30.17,-12.11,23.36,-24.90,-2.45,16.99,46.67,71.51,34.59
